2024-02-29T15:34:24.119Z	NEW WS	DEKOSETESTINGSTATION03	127.0.0.1:51152
2024-02-29T15:36:52.420Z	REQ IN	0	127.0.0.1:51189	[2,"18b06e70-e888-4e74-aa3f-896f8c56d70d","NotifyReport",{"requestId":668587824,"generatedAt":"2024-02-29T15:36:51Z","seqNo":0,"reportData":[{"component":{"name":"OCPPCommCtrlr"},"variable":{"name":"WebSocketPingInterval"},"variableAttribute":[{"value":"20","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true,"unit":"s"}},{"component":{"name":"OCPPCommCtrlr"},"variable":{"name":"ResetRetries"},"variableAttribute":[{"value":"10","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"OCPPCommCtrlr"},"variable":{"name":"MessageAttempts","instance":"TransactionEvent"},"variableAttribute":[{"value":"5","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"OCPPCommCtrlr"},"variable":{"name":"FileTransferProtocols"},"variableAttribute":[{"value":"","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"MemberList","supportsMonitoring":true,"valuesList":"FTP,FTPS,HTTP,HTTPS,SFTP"}},{"component":{"name":"OCPPCommCtrlr"},"variable":{"name":"OfflineThreshold"},"variableAttribute":[{"value":"30","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true,"unit":"s"}}],"tbc":true}]
2024-02-29T15:36:52.496Z	RES OUT	0	127.0.0.1:51189	[3,"18b06e70-e888-4e74-aa3f-896f8c56d70d",{}]
2024-02-29T15:36:52.591Z	REQ IN	0	127.0.0.1:51189	[2,"0cbf1781-a031-4b8d-936c-a032e1084d3e","NotifyReport",{"requestId":668587824,"generatedAt":"2024-02-29T15:36:51Z","seqNo":1,"reportData":[{"component":{"name":"OCPPCommCtrlr"},"variable":{"name":"NetworkProfileConnectionAttempts"},"variableAttribute":[{"value":"10","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"OCPPCommCtrlr"},"variable":{"name":"MessageAttemptInterval","instance":"TransactionEvent"},"variableAttribute":[{"value":"30","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true,"unit":"s"}},{"component":{"name":"OCPPCommCtrlr"},"variable":{"name":"NetworkConfigurationPriority"},"variableAttribute":[{"value":"Default","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"SequenceList","supportsMonitoring":true,"valuesList":"Default"}},{"component":{"name":"OCPPCommCtrlr"},"variable":{"name":"HeartbeatInterval"},"variableAttribute":[{"value":"0","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true,"unit":"s"}},{"component":{"name":"OCPPCommCtrlr"},"variable":{"name":"UnlockOnEVSideDisconnect"},"variableAttribute":[{"value":"false","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}}],"tbc":true}]
2024-02-29T15:36:52.602Z	RES OUT	0	127.0.0.1:51189	[3,"0cbf1781-a031-4b8d-936c-a032e1084d3e",{}]
2024-02-29T15:36:52.696Z	REQ IN	0	127.0.0.1:51189	[2,"3c6032d8-545b-4928-b8f6-89fe37f1aaf5","NotifyReport",{"requestId":668587824,"generatedAt":"2024-02-29T15:36:51Z","seqNo":2,"reportData":[{"component":{"name":"OCPPCommCtrlr"},"variable":{"name":"MessageTimeout","instance":"Default"},"variableAttribute":[{"value":"30","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true,"unit":"s"}},{"component":{"name":"TxCtrlr"},"variable":{"name":"TxStopPoint"},"variableAttribute":[{"value":"PowerPathClosed","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"MemberList","supportsMonitoring":true,"valuesList":"ParkingBayOccupancy,EVConnected,Authorized,PowerPathClosed,EnergyTransfer"}},{"component":{"name":"TxCtrlr"},"variable":{"name":"MaxEnergyOnInvalidId"},"variableAttribute":[{"value":"true","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true,"unit":"Wh"}},{"component":{"name":"TxCtrlr"},"variable":{"name":"StopTxOnEVSideDisconnect"},"variableAttribute":[{"value":"false","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}},{"component":{"name":"TxCtrlr"},"variable":{"name":"StopTxOnInvalidId"},"variableAttribute":[{"value":"true","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":true}}],"tbc":true}]
2024-02-29T15:36:52.706Z	RES OUT	0	127.0.0.1:51189	[3,"3c6032d8-545b-4928-b8f6-89fe37f1aaf5",{}]
2024-02-29T15:36:52.793Z	REQ IN	0	127.0.0.1:51189	[2,"1596c990-5907-47d1-8fd1-593d513011b3","NotifyReport",{"requestId":668587824,"generatedAt":"2024-02-29T15:36:51Z","seqNo":3,"reportData":[{"component":{"name":"TxCtrlr"},"variable":{"name":"TxStartPoint"},"variableAttribute":[{"value":"PowerPathClosed","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"MemberList","supportsMonitoring":true,"valuesList":"ParkingBayOccupancy,EVConnected,Authorized,PowerPathClosed,EnergyTransfer,DataSigned"}},{"component":{"name":"TxCtrlr"},"variable":{"name":"EVConnectionTimeOut"},"variableAttribute":[{"value":"30","mutability":"ReadWrite","constant":false}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true,"unit":"s"}},{"component":{"name":"DeviceDataCtrlr"},"variable":{"name":"ItemsPerMessage","instance":"GetReport"},"variableAttribute":[{"value":"100000","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"DeviceDataCtrlr"},"variable":{"name":"ReportingValueSize"},"variableAttribute":[{"value":"1000000","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"DeviceDataCtrlr"},"variable":{"name":"BytesPerMessage","instance":"GetReport"},"variableAttribute":[{"value":"10000000","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true,"unit":"Bytes"}}],"tbc":true}]
2024-02-29T15:36:52.810Z	RES OUT	0	127.0.0.1:51189	[3,"1596c990-5907-47d1-8fd1-593d513011b3",{}]
2024-02-29T15:36:52.900Z	REQ IN	0	127.0.0.1:51189	[2,"aea746cb-fbd4-4ecb-9d29-5778300ed6f4","NotifyReport",{"requestId":668587824,"generatedAt":"2024-02-29T15:36:51Z","seqNo":4,"reportData":[{"component":{"name":"DeviceDataCtrlr"},"variable":{"name":"ItemsPerMessage","instance":"GetVariables"},"variableAttribute":[{"value":"100000","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"DeviceDataCtrlr"},"variable":{"name":"BytesPerMessage","instance":"SetVariables"},"variableAttribute":[{"value":"10000000","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true,"unit":"Bytes"}},{"component":{"name":"DeviceDataCtrlr"},"variable":{"name":"BytesPerMessage","instance":"GetVariables"},"variableAttribute":[{"value":"10000000","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true,"unit":"Bytes"}},{"component":{"name":"DeviceDataCtrlr"},"variable":{"name":"ConfigurationValueSize"},"variableAttribute":[{"value":"1000","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}},{"component":{"name":"DeviceDataCtrlr"},"variable":{"name":"ItemsPerMessage","instance":"SetVariables"},"variableAttribute":[{"value":"100000","mutability":"ReadOnly","constant":true}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":true}}],"tbc":true}]
2024-02-29T15:36:52.910Z	RES OUT	0	127.0.0.1:51189	[3,"aea746cb-fbd4-4ecb-9d29-5778300ed6f4",{}]
