2024-02-29T08:39:58.055Z	NEW WS	EVB-500-005-097	127.0.0.1:57458
2024-02-29T08:42:44.710Z	REQ IN	0	127.0.0.1:57538	[2,"ffdf8d14-8e66-45a9-8164-7e1eacb12050","NotifyReport",{"requestId":1577371169,"generatedAt":"2024-02-29T08:42:43Z","reportData":[{"component":{"name":"ChargingStation"},"variable":{"name":"AvailabilityState"},"variableAttribute":[{"type":"Actual","value":"Available","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"dataType":"OptionList","minLimit":7,"maxLimit":11,"valuesList":"Available,Occupied,Reserved,Unavailable,Faulted","supportsMonitoring":false}},{"component":{"name":"ChargingStation"},"variable":{"name":"Model"},"variableAttribute":[{"type":"Actual","value":"Liviqo","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"dataType":"string","maxLimit":20,"supportsMonitoring":false}},{"component":{"name":"ChargingStation"},"variable":{"name":"SerialNumber"},"variableAttribute":[{"type":"Actual","value":"UYqTaJHcXz9KD74H9n4YAqeQk","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"dataType":"string","maxLimit":25,"supportsMonitoring":false}},{"component":{"name":"ChargingStation"},"variable":{"name":"VendorName"},"variableAttribute":[{"type":"Actual","value":"EVBox","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"dataType":"string","maxLimit":50,"supportsMonitoring":false}},{"component":{"name":"ClockCtrlr"},"variable":{"name":"DateTime"},"variableAttribute":[{"type":"Actual","value":"","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"dataType":"dateTime","maxLimit":25,"supportsMonitoring":false}},{"component":{"name":"ClockCtrlr"},"variable":{"name":"TimeSource"},"variableAttribute":[{"type":"Actual","value":"NTP,MobileNetwork","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"dataType":"SequenceList","minLimit":3,"maxLimit":17,"valuesList":"NTP,MobileNetwork","supportsMonitoring":false}},{"component":{"name":"ClusterLoadBalancingCtrlr"},"variable":{"name":"CLBState"},"variableAttribute":[{"type":"Actual","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"dataType":"OptionList","maxLimit":9,"valuesList":"Listening,Faulty,Healthy","supportsMonitoring":false}}],"tbc":true,"seqNo":1}]
2024-02-29T08:42:44.720Z	RES OUT	0	127.0.0.1:57538	[3,"ffdf8d14-8e66-45a9-8164-7e1eacb12050",{}]
2024-02-29T08:42:44.898Z	REQ IN	0	127.0.0.1:57538	[2,"266ddaf6-622f-4456-922e-67ed671bd2aa","NotifyReport",{"requestId":1577371169,"generatedAt":"2024-02-29T08:42:44Z","reportData":[{"component":{"name":"ClusterLoadBalancingCtrlr"},"variable":{"name":"ClusterIdentity"},"variableAttribute":[{"type":"Actual","value":";","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"dataType":"string","maxLimit":60,"supportsMonitoring":false}},{"component":{"name":"ClusterLoadBalancingCtrlr"},"variable":{"name":"Enabled"},"variableAttribute":[{"type":"Actual","value":"false","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":false}},{"component":{"name":"ClusterLoadBalancingCtrlr"},"variable":{"name":"MaxClusterCurrent"},"variableAttribute":[{"type":"Actual","value":"6","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"unit":"A","dataType":"integer","supportsMonitoring":false}},{"component":{"name":"ClusterLoadBalancingCtrlr"},"variable":{"name":"OfferedCurrent","instance":"L1"},"variableAttribute":[{"type":"Actual","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"unit":"A","dataType":"decimal","supportsMonitoring":false}},{"component":{"name":"ClusterLoadBalancingCtrlr"},"variable":{"name":"OfferedCurrent","instance":"L2"},"variableAttribute":[{"type":"Actual","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"unit":"A","dataType":"decimal","supportsMonitoring":false}},{"component":{"name":"ClusterLoadBalancingCtrlr"},"variable":{"name":"OfferedCurrent","instance":"L3"},"variableAttribute":[{"type":"Actual","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"unit":"A","dataType":"decimal","supportsMonitoring":false}},{"component":{"name":"ClusterLoadBalancingCtrlr"},"variable":{"name":"ReachableNeighbourCount"},"variableAttribute":[{"type":"Actual","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"dataType":"integer","supportsMonitoring":false}}],"tbc":true,"seqNo":2}]
2024-02-29T08:42:44.908Z	RES OUT	0	127.0.0.1:57538	[3,"266ddaf6-622f-4456-922e-67ed671bd2aa",{}]
2024-02-29T08:42:45.027Z	REQ IN	0	127.0.0.1:57538	[2,"0c5dbcf2-7574-458a-9891-8f0a4c5da079","NotifyReport",{"requestId":1577371169,"generatedAt":"2024-02-29T08:42:44Z","reportData":[{"component":{"name":"ClusterLoadBalancingCtrlr"},"variable":{"name":"StationCurrentBudget"},"variableAttribute":[{"type":"Actual","value":"0.0","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"unit":"A","dataType":"decimal","supportsMonitoring":false}},{"component":{"name":"ClusterLoadBalancingCtrlr"},"variable":{"name":"TotalActiveBudget"},"variableAttribute":[{"type":"Actual","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"unit":"A","dataType":"integer","supportsMonitoring":false}},{"component":{"evse":{"id":1,"connectorId":1},"name":"Connector"},"variable":{"name":"AvailabilityState"},"variableAttribute":[{"type":"Actual","value":"Available","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"dataType":"OptionList","minLimit":7,"maxLimit":11,"valuesList":"Available,Occupied,Reserved,Unavailable,Faulted","supportsMonitoring":false}},{"component":{"evse":{"id":1,"connectorId":1},"name":"Connector"},"variable":{"name":"ConnectorType"},"variableAttribute":[{"type":"Actual","value":"sType2","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"dataType":"string","maxLimit":14,"supportsMonitoring":false}},{"component":{"name":"DeviceDataCtrlr"},"variable":{"name":"ItemsPerMessage","instance":"GetReport"},"variableAttribute":[{"type":"Actual","value":"7","mutability":"ReadOnly","persistent":false,"constant":true}],"variableCharacteristics":{"dataType":"integer","minLimit":1,"maxLimit":7,"supportsMonitoring":false}},{"component":{"name":"DeviceDataCtrlr"},"variable":{"name":"ItemsPerMessage","instance":"GetVariables"},"variableAttribute":[{"type":"Actual","value":"5","mutability":"ReadOnly","persistent":false,"constant":true}],"variableCharacteristics":{"dataType":"integer","minLimit":1,"maxLimit":5,"supportsMonitoring":false}},{"component":{"name":"DeviceDataCtrlr"},"variable":{"name":"ItemsPerMessage","instance":"SetVariables"},"variableAttribute":[{"type":"Actual","value":"5","mutability":"ReadOnly","persistent":false,"constant":true}],"variableCharacteristics":{"dataType":"integer","minLimit":1,"maxLimit":5,"supportsMonitoring":false}}],"tbc":true,"seqNo":3}]
2024-02-29T08:42:45.045Z	RES OUT	0	127.0.0.1:57538	[3,"0c5dbcf2-7574-458a-9891-8f0a4c5da079",{}]
2024-02-29T08:42:45.165Z	REQ IN	0	127.0.0.1:57538	[2,"ed19e7d9-a48f-4ac9-8043-148157333f29","NotifyReport",{"requestId":1577371169,"generatedAt":"2024-02-29T08:42:44Z","reportData":[{"component":{"name":"DynamicLoadBalancingCtrlr"},"variable":{"name":"CurrentTransformerCoilType"},"variableAttribute":[{"type":"Actual","value":"","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"dataType":"string","maxLimit":10,"supportsMonitoring":false}},{"component":{"name":"DynamicLoadBalancingCtrlr"},"variable":{"name":"Enabled"},"variableAttribute":[{"type":"Actual","value":"false","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":false}},{"component":{"name":"DynamicLoadBalancingCtrlr"},"variable":{"name":"FacilityCurrent","instance":"L1"},"variableAttribute":[{"type":"MaxSet","value":"-1","mutability":"ReadOnly","persistent":false,"constant":false},{"type":"Actual","value":"","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"unit":"A","dataType":"decimal","supportsMonitoring":false}},{"component":{"name":"DynamicLoadBalancingCtrlr"},"variable":{"name":"FacilityCurrent","instance":"L2"},"variableAttribute":[{"type":"MaxSet","value":"-1","mutability":"ReadOnly","persistent":false,"constant":false},{"type":"Actual","value":"","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"unit":"A","dataType":"decimal","supportsMonitoring":false}},{"component":{"name":"DynamicLoadBalancingCtrlr"},"variable":{"name":"FacilityCurrent","instance":"L3"},"variableAttribute":[{"type":"MaxSet","value":"-1","mutability":"ReadOnly","persistent":false,"constant":false},{"type":"Actual","value":"","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"unit":"A","dataType":"decimal","supportsMonitoring":false}},{"component":{"evse":{"id":1},"name":"EVSE"},"variable":{"name":"AllowReset"},"variableAttribute":[{"type":"Actual","value":"false","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":false}},{"component":{"evse":{"id":1},"name":"EVSE"},"variable":{"name":"AvailabilityState"},"variableAttribute":[{"type":"Actual","value":"Available","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"dataType":"OptionList","minLimit":7,"maxLimit":11,"valuesList":"Available,Occupied,Reserved,Unavailable,Faulted","supportsMonitoring":false}}],"tbc":true,"seqNo":4}]
2024-02-29T08:42:45.176Z	RES OUT	0	127.0.0.1:57538	[3,"ed19e7d9-a48f-4ac9-8043-148157333f29",{}]
2024-02-29T08:42:45.363Z	REQ IN	0	127.0.0.1:57538	[2,"7e41be59-3109-4ddc-96a3-be4e58258b96","NotifyReport",{"requestId":1577371169,"generatedAt":"2024-02-29T08:42:44Z","reportData":[{"component":{"name":"ElectricalFeed"},"variable":{"name":"PVOptimizedCharging"},"variableAttribute":[{"type":"Actual","value":"false","mutability":"ReadWrite","persistent":false,"constant":false}],"variableCharacteristics":{"dataType":"boolean","supportsMonitoring":false}},{"component":{"name":"EnergyManagerCtrlr"},"variable":{"name":"MaxCurrent","instance":"L1"},"variableAttribute":[{"type":"Actual","value":"32.0","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"unit":"A","dataType":"decimal","supportsMonitoring":false}},{"component":{"name":"EnergyManagerCtrlr"},"variable":{"name":"MaxCurrent","instance":"L2"},"variableAttribute":[{"type":"Actual","value":"32.0","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"unit":"A","dataType":"decimal","supportsMonitoring":false}},{"component":{"name":"EnergyManagerCtrlr"},"variable":{"name":"MaxCurrent","instance":"L3"},"variableAttribute":[{"type":"Actual","value":"32.0","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"unit":"A","dataType":"decimal","supportsMonitoring":false}},{"component":{"name":"EnergyManagerCtrlr"},"variable":{"name":"MeasuredActivePower","instance":"L1"},"variableAttribute":[{"type":"Actual","value":"0.06789","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"unit":"W","dataType":"decimal","supportsMonitoring":false}},{"component":{"name":"EnergyManagerCtrlr"},"variable":{"name":"MeasuredActivePower","instance":"L2"},"variableAttribute":[{"type":"Actual","value":"0.07154","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"unit":"W","dataType":"decimal","supportsMonitoring":false}},{"component":{"name":"EnergyManagerCtrlr"},"variable":{"name":"MeasuredActivePower","instance":"L3"},"variableAttribute":[{"type":"Actual","value":"-0.05986","mutability":"ReadOnly","persistent":false,"constant":false}],"variableCharacteristics":{"unit":"W","dataType":"decimal","supportsMonitoring":false}}],"tbc":true,"seqNo":5}]
2024-02-29T08:42:45.375Z	RES OUT	0	127.0.0.1:57538	[3,"7e41be59-3109-4ddc-96a3-be4e58258b96",{}]
